step	loss	lr	tok_per_s	rss_mb	per_task
1	19.955981	5.0000e-06	440.0	11645	listen=19.0985(1) speak=21.9878(6) text=8.6228(1) 
2	19.304136	1.0000e-05	171.6	13175	listen=19.8179(4) speak=22.0100(3) text=9.1316(1) 
3	17.166505	1.5000e-05	250.4	13175	listen=18.4859(5) speak=22.1011(1) text=11.4008(2) 
4	18.953036	2.0000e-05	441.2	13175	listen=19.9334(1) speak=21.9787(5) text=10.8988(2) 
5	20.272142	2.5000e-05	459.7	14000	listen=18.1666(3) speak=21.5355(5) 
6	18.414326	3.0000e-05	475.8	14000	listen=19.7117(3) speak=21.1757(3) text=12.3261(2) 
7	18.765966	3.5000e-05	508.8	14000	listen=18.0671(6) speak=20.8627(2) 
8	19.077827	4.0000e-05	471.4	14000	listen=17.7289(4) speak=20.4268(4) 
9	16.061490	4.5000e-05	454.8	14000	listen=17.6693(5) speak=19.9454(1) text=10.1002(2) 
10	17.259776	5.0000e-05	424.0	14000	listen=17.5551(2) speak=19.5199(4) text=12.4441(2) 
11	16.388942	5.5000e-05	412.9	14000	listen=17.8135(1) speak=18.8506(5) text=9.5224(2) 
12	16.184922	6.0000e-05	466.9	14000	listen=17.6553(3) speak=18.6174(3) text=10.3307(2) 
13	15.440157	6.5000e-05	471.3	14000	listen=15.7546(3) speak=18.0440(3) text=11.0627(2) 
14	15.708605	7.0000e-05	410.5	14000	listen=16.1404(4) speak=17.2015(3) text=9.5030(1) 
15	14.969818	7.5000e-05	453.1	14000	listen=15.2225(4) speak=16.7774(3) text=8.5363(1) 
16	14.578289	8.0000e-05	526.2	14000	listen=15.1008(4) speak=16.2271(3) text=7.5415(1) 
17	14.665732	8.5000e-05	521.7	14000	listen=14.8688(5) speak=15.9675(2) text=11.0467(1) 
18	15.209851	9.0000e-05	472.5	14000	listen=14.3543(2) speak=15.4950(6) 
19	14.786444	9.5000e-05	450.6	14000	listen=13.7541(2) speak=15.1306(6) 
20	14.133838	1.0000e-04	481.8	14000	listen=13.8476(5) speak=14.6110(3) 
21	13.523395	9.9993e-05	455.7	14000	listen=12.6859(2) speak=14.3151(5) text=11.2397(1) 
22	12.926175	9.9973e-05	454.0	14000	listen=12.8749(4) speak=13.8485(3) text=10.3644(1) 
23	12.840293	9.9938e-05	334.4	14000	listen=12.3490(5) speak=13.6592(3) 
24	13.029726	9.9890e-05	351.7	14000	listen=12.7425(4) speak=13.3169(4) 
25	12.212635	9.9829e-05	445.0	14000	listen=11.6752(5) speak=13.1083(3) 
26	12.407225	9.9753e-05	259.1	14000	listen=11.5025(3) speak=12.9501(5) 
27	10.936296	9.9665e-05	565.4	14000	listen=10.6629(7) speak=12.8498(1) 
28	11.975479	9.9562e-05	455.8	14000	listen=10.9039(3) speak=12.6184(5) 
29	11.446989	9.9446e-05	296.7	14000	listen=9.9522(2) speak=12.5245(5) text=9.0490(1) 
30	11.075908	9.9316e-05	464.8	14000	listen=10.0716(4) speak=12.4382(3) text=11.0065(1) 
31	11.042548	9.9173e-05	520.3	14000	listen=11.2011(4) speak=12.4091(2) text=9.3588(2) 
32	11.188880	9.9017e-05	410.8	14000	listen=9.6261(3) speak=12.1266(5) 
33	11.276440	9.8847e-05	396.8	14000	listen=9.0293(2) speak=12.0255(6) 
34	10.657088	9.8663e-05	424.8	14000	listen=9.1372(2) speak=11.8588(5) text=7.6884(1) 
35	9.440804	9.8467e-05	75.8	14000	listen=9.2342(5) speak=11.5679(1) text=8.8938(2) 
36	9.462706	9.8257e-05	56.2	14000	listen=8.7082(5) speak=11.2274(2) text=9.7060(1) 
37	9.530292	9.8034e-05	516.4	14000	listen=8.5662(5) speak=11.1371(3) 
38	9.835014	9.7798e-05	440.2	14000	listen=8.5449(3) speak=11.2309(4) text=8.1218(1) 
39	9.953031	9.7548e-05	253.2	14000	listen=8.6559(3) speak=11.0866(4) text=9.3103(1) 
40	9.360231	9.7286e-05	481.2	14000	listen=8.3358(5) speak=11.0677(3) 
41	9.371085	9.7011e-05	466.3	14000	listen=8.4849(4) speak=10.7257(3) text=8.8523(1) 
42	9.437982	9.6723e-05	269.9	14000	listen=8.7899(5) speak=10.7689(2) text=10.0167(1) 
43	9.537449	9.6423e-05	464.0	14000	listen=8.3481(4) speak=10.7268(4) 
44	9.981660	9.6110e-05	149.1	14000	listen=8.3501(1) speak=10.7075(6) text=7.2584(1) 
45	9.108172	9.5784e-05	380.3	14000	listen=8.2572(5) speak=10.5264(3) 
46	8.873852	9.5446e-05	396.1	14000	listen=7.9473(5) speak=10.4180(3) 
47	8.310802	9.5095e-05	437.5	14000	listen=7.6537(3) speak=10.4387(2) text=7.5493(3) 
48	9.265373	9.4733e-05	69.9	14000	listen=7.9694(3) speak=10.3618(4) text=8.7676(1) 
49	8.836298	9.4358e-05	453.3	14000	listen=8.2180(4) speak=10.2212(3) text=7.1547(1) 
50	9.674896	9.3971e-05	399.3	14000	listen=7.6782(2) speak=10.3404(6) 
51	8.894608	9.3573e-05	122.9	14000	listen=7.4449(3) speak=10.2329(4) text=7.8905(1) 
52	8.999614	9.3162e-05	161.7	14000	listen=7.5025(3) speak=10.1810(4) text=8.7654(1) 
53	8.725860	9.2740e-05	112.1	14000	listen=7.4560(4) speak=9.9957(4) 
54	8.016479	9.2307e-05	455.5	14000	listen=7.4541(4) speak=10.2159(2) text=6.9417(2) 
55	8.712093	9.1862e-05	419.8	14000	listen=7.2234(3) speak=10.0932(4) text=7.6537(1) 
56	8.955907	9.1406e-05	357.2	14000	speak=10.0237(6) text=5.7524(2) 
57	8.578915	9.0939e-05	277.5	14000	listen=7.6791(4) speak=9.9725(3) text=7.9974(1) 
58	8.408100	9.0460e-05	480.1	14000	listen=7.6139(5) speak=9.7318(3) 
59	8.331647	8.9972e-05	445.0	14000	listen=7.3332(5) speak=9.9957(3) 
60	9.144208	8.9472e-05	340.6	14000	listen=7.2893(2) speak=9.7625(6) 
61	9.161363	8.8962e-05	414.6	14065	listen=8.2063(3) speak=9.7344(5) 
62	8.826939	8.8442e-05	402.1	14065	listen=7.2955(3) speak=9.7458(5) 
63	8.812888	8.7911e-05	154.6	14065	listen=7.3958(3) speak=9.6632(5) 
64	8.018924	8.7370e-05	268.1	14065	listen=7.5037(5) speak=9.7470(2) text=7.1387(1) 
65	8.283057	8.6820e-05	354.5	14065	listen=7.1045(3) speak=9.8802(3) text=7.6553(2) 
66	8.668553	8.6260e-05	293.9	14065	listen=7.3989(1) speak=9.9276(5) text=6.1559(2) 
67	8.668645	8.5690e-05	292.8	14065	listen=7.0686(3) speak=9.6287(5) 
68	8.372770	8.5111e-05	237.2	14065	listen=7.4745(5) speak=9.8699(3) 
69	8.080896	8.4523e-05	219.5	14065	listen=7.1670(4) speak=9.8702(3) text=6.3684(1) 
